dataset,method,precision,recall,f1-score,support
Best Feature - 10% MV,Replace by mean,0.7159641205393044,0.7158161502131091,0.7141848382801436,8681
Best Feature - 10% MV,Replace by median,0.7141674051951108,0.7145490150904273,0.7127313730679093,8681
Best Feature - 10% MV,Replace by mean of class,0.7154112402483357,0.7155857620089852,0.7135923388405315,8681
Best Feature - 10% MV,Replace by median of class,0.7121652370987911,0.7122451330491879,0.7107547838654608,8681
Best Feature - 50% MV,Replace by mean,0.7041350789461086,0.7044119341089736,0.7008007025816037,8681
Best Feature - 50% MV,Replace by median,0.7090039697538875,0.7087893099873287,0.7052708674617935,8681
Best Feature - 50% MV,Replace by mean of class,0.7053975403202466,0.6992281995161848,0.6971471261215811,8681
Best Feature - 50% MV,Replace by median of class,0.7031618925576342,0.698306646699689,0.6971086876085455,8681
Worst Feature - 10% MV,Replace by mean,0.7208467089399985,0.7199631378873401,0.7191054256834982,8681
Worst Feature - 10% MV,Replace by median,0.7167373199937516,0.7158161502131091,0.7138201607446185,8681
Worst Feature - 10% MV,Replace by mean of class,0.7168972400648774,0.7152401797027992,0.7150701333214934,8681
Worst Feature - 10% MV,Replace by median of class,0.7191361067627928,0.7180048381522866,0.7174941034904972,8681
Worst Feature - 50% MV,Replace by mean,0.7155905581271593,0.7137426563759935,0.713268897919372,8681
Worst Feature - 50% MV,Replace by median,0.7161252790848102,0.7153553738048611,0.7145119356012054,8681
Worst Feature - 50% MV,Replace by mean of class,0.7034793380185842,0.6875935952079254,0.6829115186017041,8681
Worst Feature - 50% MV,Replace by median of class,0.698413847507871,0.6831010252275084,0.6776224127394612,8681
All Features - 10% MV,Replace by mean,0.6963341446846959,0.6962331528625735,0.6930649668199466,8681
All Features - 10% MV,Replace by median,0.6980761669805997,0.6989978113120608,0.6958858379075787,8681
All Features - 10% MV,Replace by mean of class,0.6939802460456845,0.6897822831471029,0.6884850350129879,8681
All Features - 10% MV,Replace by median of class,0.6904699261776504,0.6880543716161732,0.6848829674617484,8681
All Features - 50% MV,Replace by mean,0.6404147969620432,0.6403640133625158,0.6319114492692759,8681
All Features - 50% MV,Replace by median,0.6452176502943293,0.6415159543831356,0.6337024945350139,8681
All Features - 50% MV,Replace by mean of class,0.5975616498182995,0.5490150904273701,0.5284258678518495,8681
All Features - 50% MV,Replace by median of class,0.6057525310746023,0.5521253311830434,0.5333985249023557,8681
